City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,praia da vitoria,38.7333,-27.0667,68.76,68,40,8.84,PT,1716658999
1,lebu,-37.6167,-73.65,53.78,65,100,5.84,CL,1716659000
2,waitangi,-43.9535,-176.5597,48.81,80,98,15.99,NZ,1716659000
3,selfoss,63.9331,-20.9971,53.04,72,28,24.09,IS,1716659001
4,new amsterdam,6.25,-57.5167,75.7,97,100,3.47,GY,1716659001
5,adamstown,-25.066,-130.1015,70.59,69,41,14.63,PN,1716659002
6,afaahiti,-17.75,-149.2833,80.47,85,89,18.1,PF,1716659002
7,port-aux-francais,-49.35,70.2167,38.55,71,12,40.53,TF,1716659003
8,novokruchininskiy,51.7833,113.7667,37.13,75,63,2.42,RU,1716659003
9,college,64.8569,-147.8028,48.52,90,100,6.91,US,1716659004
10,ebon,4.582,168.6964,83.37,77,19,15.55,MH,1716659004
11,ushuaia,-54.8,-68.3,40.66,87,100,3.44,AR,1716658732
12,rio grande,-32.035,-52.0986,55.51,71,92,16.71,BR,1716659005
13,beitbridge,-22.2167,30.0,68.31,46,7,7.18,ZW,1716659006
14,queenstown,-31.8976,26.8753,57.51,55,33,0.43,ZA,1716659006
15,yellowknife,62.456,-114.3525,65.41,44,20,3.44,CA,1716659007
16,khorostkiv,49.2111,25.9217,58.75,70,39,8.03,UA,1716659008
17,gamba,-2.65,10.0,76.55,83,100,5.14,GA,1716658943
18,west island,-12.1568,96.8225,80.58,83,75,16.11,CC,1716659009
19,aasiaat,68.7098,-52.8699,29.77,77,15,5.19,GL,1716659009
20,petropavlovsk-kamchatsky,53.0452,158.6483,39.45,75,100,4.47,RU,1716658787
21,bethel,41.3712,-73.414,81.36,50,0,4.61,US,1716659010
22,puerto ayora,-0.7393,-90.3518,78.76,76,75,8.77,EC,1716659011
23,bredasdorp,-34.5322,20.0403,58.6,91,77,5.41,ZA,1716659011
24,longyearbyen,78.2186,15.6401,30.04,86,100,18.41,SJ,1716659012
25,edinburgh of the seven seas,-37.0676,-12.3116,62.2,88,98,25.3,SH,1716659012
26,olonkinbyen,70.9221,-8.7187,33.85,99,100,14.23,SJ,1716659013
27,tilcara,-23.5776,-65.3509,60.3,11,0,14.07,AR,1716659014
28,douglas,41.3,-96.167,76.35,39,0,17.27,US,1716659015
29,vorgashor,67.5833,63.95,27.81,96,97,17.43,RU,1716658988
30,ust-nera,64.5667,143.2,39.0,79,10,0.27,RU,1716659017
31,flying fish cove,-10.4217,105.6791,80.28,89,100,12.66,CX,1716659018
32,puerto natales,-51.7236,-72.4875,36.05,80,8,2.3,CL,1716659018
33,ban karon,7.8477,98.2985,82.31,73,100,2.26,TH,1716659019
34,selibaby,15.159,-12.1829,110.12,12,20,6.2,MR,1716659020
35,vorkuta,67.5,64.0,28.11,96,96,15.99,RU,1716659020
36,ust'-uda,54.1742,103.0304,54.45,62,90,3.13,RU,1716659021
37,choibalsan,48.0667,114.5,49.15,73,100,6.91,MN,1716658742
38,griffith,41.5284,-87.4237,77.25,46,0,9.22,US,1716658775
39,nurabad,34.0734,47.9725,60.82,43,28,3.49,IR,1716659022
40,blackmans bay,-43.0167,147.3167,37.72,93,30,1.99,AU,1716659023
41,nemuro,43.3236,145.575,43.57,83,39,10.83,JP,1716659024
42,iskateley,67.6803,53.1512,30.02,79,99,20.0,RU,1716659026
43,port mathurin,-19.6833,63.4167,77.41,78,91,19.66,MU,1716659026
44,bereznik,62.8551,42.7072,44.87,53,54,9.66,RU,1716659027
45,anori,-3.7728,-61.6442,90.59,56,67,3.53,BR,1716659027
46,itaituba,-4.2761,-55.9836,91.56,66,40,4.61,BR,1716659028
47,verkhnevilyuysk,63.4453,120.3167,50.77,91,89,5.26,RU,1716659029
48,port augusta,-32.5,137.7667,51.31,69,0,2.73,AU,1716659029
49,tete,-16.1564,33.5867,77.09,53,40,5.75,MZ,1716659030
50,ilulissat,69.2167,-51.1,35.62,69,0,6.91,GL,1716659031
51,nuriootpa,-34.4833,139.0,52.65,66,0,5.55,AU,1716659031
52,klyuchi,52.2667,79.1667,43.0,90,99,8.77,RU,1716659032
53,mount pearl,47.5166,-52.7813,60.46,94,100,2.3,CA,1716659032
54,grytviken,-54.2811,-36.5092,18.59,81,23,7.74,GS,1716659033
55,ribeira grande,38.5167,-28.7,68.4,64,40,8.01,PT,1716659034
56,atafu village,-8.5421,-172.5159,85.15,75,33,13.96,TK,1716659034
57,pamandzi,-12.7967,45.2794,78.58,73,75,12.66,YT,1716659035
58,quellon,-43.1167,-73.6167,45.66,61,100,3.83,CL,1716659035
59,el ksour,35.8961,8.8849,73.85,34,13,14.38,TN,1716659036
60,kodiak,57.79,-152.4072,40.51,81,100,11.5,US,1716659036
61,at taraf,25.3628,49.725,99.14,17,0,13.56,SA,1716659037
62,lijiang,26.8688,100.2207,60.69,80,68,3.74,CN,1716659038
63,luau,-10.7073,22.2247,70.07,39,4,5.53,AO,1716659038
64,punta arenas,-53.15,-70.9167,37.51,93,75,10.36,CL,1716658876
65,chonchi,-42.6128,-73.8092,51.01,65,99,3.83,CL,1716659039
66,isangel,-19.55,169.2667,69.73,73,82,10.0,VU,1716659040
67,pariaman,-0.619,100.12,86.05,73,97,4.79,ID,1716659041
68,bilibino,68.0546,166.4372,33.35,73,42,2.71,RU,1716659041
69,constantia,44.1833,28.65,65.08,79,100,12.82,RO,1716658871
70,lobujya,27.95,86.8167,31.96,99,100,3.47,NP,1716659043
71,port pirie,-33.1833,138.0167,55.0,60,0,3.85,AU,1716659043
72,egilsstadir,65.2653,-14.3948,53.51,71,75,18.41,IS,1716659044
73,shakiso,5.75,38.9167,60.49,99,47,2.42,ET,1716659044
74,margate,51.3813,1.3862,62.91,62,33,8.86,GB,1716658655
75,kanniyakumari,8.0833,77.5667,80.17,84,100,20.47,IN,1716659045
76,thompson,55.7435,-97.8558,44.76,70,100,13.8,CA,1716659046
77,corn island,12.1694,-83.0418,84.02,77,13,10.02,NI,1716659047
78,yanam,16.7333,82.2167,80.92,85,100,2.48,IN,1716659047
79,laguna,38.421,-121.4238,65.1,67,100,11.5,US,1716659048
80,marble falls,30.5782,-98.2728,93.31,60,0,10.36,US,1716659048
81,port alfred,-33.5906,26.891,62.19,92,64,11.25,ZA,1716659049
82,rabo de peixe,37.8,-25.5833,69.31,99,20,9.22,PT,1716659049
83,stanley,54.868,-1.6985,58.59,76,0,8.05,GB,1716659051
84,albany,42.6001,-73.9662,80.53,45,99,1.99,US,1716659052
85,rehoboth,-23.3167,17.0833,64.42,22,3,6.33,NA,1716659052
86,cabedelo,-6.9811,-34.8339,86.67,74,94,15.1,BR,1716659053
87,luganville,-15.5333,167.1667,76.96,88,99,8.77,VU,1716659053
88,st. john's,47.5649,-52.7093,61.29,94,100,5.75,CA,1716658761
89,aksu,41.1231,80.2644,71.28,47,91,6.15,CN,1716659054
90,tolanaro,-25.0319,46.9987,73.47,83,20,11.5,MG,1716659055
91,whitehorse,60.7161,-135.0538,51.1,47,75,9.22,CA,1716659056
92,lihue,21.9789,-159.3672,75.36,76,100,13.8,US,1716658785
93,hilo,19.7297,-155.09,72.95,92,100,1.99,US,1716658782
94,tiksi,71.6872,128.8694,38.86,80,95,10.58,RU,1716658920
95,kimbe,-5.5502,150.1429,76.66,95,95,4.25,PG,1716659058
96,alofi,-19.0595,-169.9187,75.09,94,100,9.22,NU,1716659059
97,hamilton,39.1834,-84.5333,82.51,67,75,9.22,US,1716659040
98,invercargill,-46.4,168.35,44.02,83,99,15.99,NZ,1716659060
99,barra de santo antonio,-9.4047,-35.5072,85.28,64,60,7.61,BR,1716659060
100,sitka,57.0531,-135.33,46.29,76,100,8.05,US,1716659061
101,kone,-21.0595,164.8658,68.45,60,100,2.55,NC,1716659062
102,selkirk,50.1436,-96.8845,45.09,96,100,16.26,CA,1716659062
103,andrews,32.3187,-102.5457,94.41,18,0,6.91,US,1716658881
104,atar,20.5169,-13.0499,101.35,10,56,13.71,MR,1716659063
105,mathba,22.2855,89.9629,85.32,75,100,15.14,BD,1716659064
106,oum hadjer,13.2954,19.6966,99.45,20,23,8.28,TD,1716659064
107,mugia,43.1041,-9.2179,63.91,89,96,4.5,ES,1716659065
108,arraial do cabo,-22.9661,-42.0278,78.76,83,75,13.8,BR,1716659065
109,iqaluit,63.7506,-68.5145,33.53,64,75,12.66,CA,1716659066
110,qandala,11.472,49.8728,89.42,56,45,0.81,SO,1716659067
111,turpan,42.9333,89.1667,89.8,21,100,6.64,CN,1716659067
112,manggar,-2.8833,108.2667,80.31,86,100,6.64,ID,1716659068
113,kuanda,56.3161,116.0806,49.37,52,15,1.54,RU,1716659068
114,mahriz,31.5917,54.4318,81.1,23,14,4.07,IR,1716659069
115,baoqing,46.3317,132.2111,53.85,54,98,3.31,CN,1716659069
116,shangzhi,45.2167,127.9667,50.54,96,100,7.11,CN,1716659070
117,mahanoro,-19.9,48.8,69.03,83,38,4.25,MG,1716659071
118,ezine,39.7856,26.3408,74.71,67,3,13.27,TR,1716659071
119,yemel'yanovo,56.1681,92.6767,49.08,70,40,2.24,RU,1716659072
120,weno,7.4515,151.8468,84.13,81,19,18.14,FM,1716659072
121,arica,-18.475,-70.3042,71.15,68,20,12.66,CL,1716658791
122,arkhangel'sk,64.5401,40.5433,45.1,53,40,4.47,RU,1716659073
123,san jose del guaviare,2.5729,-72.6459,72.3,100,100,0.65,CO,1716659074
124,avarua,-21.2078,-159.775,75.25,100,100,1.14,CK,1716659074
125,sibiti,-3.6819,13.3499,73.69,85,69,1.63,CG,1716659075
126,argo,37.6333,22.7333,70.65,62,98,5.19,GR,1716659076
127,makaha,21.4694,-158.2175,78.71,83,75,0.0,US,1716659076
128,happy valley-goose bay,53.3168,-60.3315,43.11,87,75,20.71,CA,1716659077
129,haiku-pauwela,20.9219,-156.3051,75.04,76,20,10.0,US,1716659077
130,ta`u,-14.2336,-169.5144,82.99,78,86,9.71,AS,1716659078
131,margaret river,-33.95,115.0667,61.34,72,8,7.0,AU,1716659079
132,kailua-kona,19.6406,-155.9956,75.16,95,75,4.61,US,1716658905
133,touros,-5.1989,-35.4608,84.51,67,67,14.65,BR,1716659080
134,isafjordur,66.0755,-23.124,53.64,66,20,11.5,IS,1716659081
135,mahibadhoo,3.7833,72.9667,83.62,79,100,17.0,MV,1716659081
136,port elizabeth,-33.918,25.5701,61.11,96,0,3.44,ZA,1716658958
137,dengi,9.3667,9.95,86.36,51,88,8.41,NG,1716659083
